Brand,Type,Model,Screen (Compatible),Screen (High Quality / Premium),Original Screen ,Battery (High Quality / Premium),Charging Port,Software Flash/Restore,Back Glass Replacement,Motherboard/Liquid Damage/Audio/Touch IC Repair,Rear Camera Replacement,Front Camera Replacement,Camera Lens Replacement,Microphone Repair,Earpiece Speaker Repair,Loudspeaker Replacement,Power Button Repair
Apple,iPhone,iPhone 7 (A1778),45,ask,ask,40,50,20,ask,80,45,40,30,50,45,45,45
Apple,iPhone,iPhone 7 Plus (A1784),50,ask,ask,40,50,20,ask,80,45,40,30,50,45,45,45
Apple,iPhone,iPhone 8 (A1905),50,ask,ask,40,50,20,ask,85,45,40,30,50,45,45,45
Apple,iPhone,iPhone 8 Plus (A1897),50,ask,ask,40,50,20,ask,85,45,40,30,50,45,45,45
Apple,iPhone,iPhone X (A1901),50,ask,ask,45,55,20,ask,120,60,50,30,55,55,50,55
Apple,iPhone,iPhone XR (A2105),50,ask,ask,45,55,20,ask,120,60,50,30,55,55,50,55
Apple,iPhone,iPhone XS (A2097),50,ask,ask,45,55,20,ask,120,60,50,30,55,55,50,55
Apple,iPhone,iPhone XS Max (A2101),65,ask,ask,45,60,20,ask,120,60,50,30,60,60,50,60
Apple,iPhone,iPhone 11 (A2221),50,ask,ask,45,60,20,80,145,65,50,30,60,60,50,60
Apple,iPhone,iPhone 11 Pro (A2215),60,ask,ask,50,80,20,80,145,85,60,30,80,80,70,60
Apple,iPhone,iPhone 11 Pro Max (A2220),75,ask,ask,50,80,20,80,145,85,60,30,80,80,80,70
Apple,iPhone,iPhone SE (2nd generation) (A2296),50,ask,ask,45,50,20,80,145,55,40,30,50,50,45,50
Apple,iPhone,iPhone 12 mini (A2399),70,ask,ask,55,65,20,80,145,70,65,30,65,65,65,65
Apple,iPhone,iPhone 12 (A2403),60,ask,ask,55,65,20,80,145,70,65,30,65,65,65,65
Apple,iPhone,iPhone 12 Pro (A2407),60,ask,ask,55,65,20,80,145,110,65,30,65,65,65,65
Apple,iPhone,iPhone 12 Pro Max (A2411),75,ask,ask,65,65,20,80,145,110,65,30,65,65,65,65
Apple,iPhone,iPhone 13 mini (A2628),70,ask,ask,60,70,20,80,145,70,65,30,70,65,65,65
Apple,iPhone,iPhone 13 (A2633),65,ask,ask,60,70,20,80,150,70,65,30,70,65,65,65
Apple,iPhone,iPhone 13 Pro (A2638),70,150,ask,70,75,20,80,150,105,65,30,75,65,65,65
Apple,iPhone,iPhone 13 Pro Max (A2643),80,155,ask,70,80,20,80,150,105,65,30,80,70,70,70
Apple,iPhone,iPhone SE (3rd generation) (A2783),50,ask,ask,50,50,20,80,90,55,40,30,50,50,50,60
Apple,iPhone,iPhone 14 (A2882),65,ask,ask,60,75,20,80,150,70,70,30,75,75,75,75
Apple,iPhone,iPhone 14 Plus (A2886),70,ask,ask,60,80,20,80,150,80,70,30,80,80,75,80
Apple,iPhone,iPhone 14 Pro (A2890),70,195,ask,70,80,20,80,180,110,80,30,80,80,80,80
Apple,iPhone,iPhone 14 Pro Max (A2894),85,220,ask,70,80,20,80,180,110,80,30,80,80,80,80
Apple,iPhone,iPhone 15 (A3090),85,170,295,65,75,20,80,160,90,80,30,75,75,75,75
Apple,iPhone,iPhone 15 Plus (A3094),85,190,ask,65,85,20,80,160,90,80,30,85,85,85,85
Apple,iPhone,iPhone 15 Pro (A3102),100,190,ask,70,85,20,80,180,105,85,30,85,85,85,85
Apple,iPhone,iPhone 15 Pro Max (A3106),105,240,370,70,95,20,80,180,110,85,30,95,95,95,95
Apple,iPhone,iPhone 16 (A3287),95,180,ask,75,85,20,80,180,110,90,35,85,85,85,85
Apple,iPhone,iPhone 16 Plus (A3290),100,195,ask,75,85,20,80,180,110,90,35,85,85,85,85
Apple,iPhone,iPhone 16 Pro (A3293),135,195,ask,80,100,20,80,180,110,90,35,100,95,95,95
Apple,iPhone,iPhone 16 Pro Max (A3296),145,255,470,80,100,20,80,180,110,90,35,100,95,95,95
Apple,iPhone,iPhone 16e (A3409),95,135,ask,75,85,20,80,180,135,90,35,85,85,85,85
Apple,iPhone,iPhone 17 (A3513 (Series)),ASK,250,ask,ASK,105,20,100,180,135,95,40,105,ASK,ASK,ASK
Apple,iPhone,iPhone 17 Air (A3517 (Series)),ASK,ASK,ASK,ASK,ASK,20,100,180,ASK,ASK,40,ASK,ASK,ASK,ASK
Apple,iPhone,iPhone 17 Pro (A3521 (Series)),ASK,275,ask,ASK,ASK,20,100,180,ASK,ASK,40,ASK,ASK,ASK,ASK
Apple,iPhone,iPhone 17 Pro Max (A3526),ASK,ASK,ask,ASK,ASK,20,100,180,ASK,ASK,40,ASK,ASK,ASK,ASK
